Periodo,Total,﻿Comunidades y Ciudades Autónomas,Tasa de riesgo de pobreza o exclusión social (y sus componentes)
2020,7,Total Nacional,Con carencia material severa
2019,"4,7",Total Nacional,Con carencia material severa
2018,"5,4",Total Nacional,Con carencia material severa
2017,"5,1",Total Nacional,Con carencia material severa
2016,"5,8",Total Nacional,Con carencia material severa
2015,"6,4",Total Nacional,Con carencia material severa
2014,"7,1",Total Nacional,Con carencia material severa
2013,"6,2",Total Nacional,Con carencia material severa
2012,"5,8",Total Nacional,Con carencia material severa
2011,"4,5",Total Nacional,Con carencia material severa
2010,"4,9",Total Nacional,Con carencia material severa
2009,"4,5",Total Nacional,Con carencia material severa
2008,"3,6",Total Nacional,Con carencia material severa
