Periodo,Total,﻿Comunidades y Ciudades Autónomas,Tasa de riesgo de pobreza o exclusión social (y sus componentes)
2020,"26,4",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2019,"25,3",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2018,"26,1",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2017,"26,6",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2016,"27,9",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2015,"28,6",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2014,"29,2",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2013,"27,3",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2012,"27,2",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2011,"26,7",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2010,"26,1",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2009,"24,7",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2008,"23,8",Total Nacional,Tasa de riesgo de pobreza o exclusión social (indicador AROPE)
2020,21,Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2019,"20,7",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2018,"21,5",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2017,"21,6",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2016,"22,3",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2015,"22,1",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2014,"22,2",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2013,"20,4",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2012,"20,8",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2011,"20,6",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2010,"20,7",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2009,"20,4",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2008,"19,8",Total Nacional,En riesgo de pobreza (renta año anterior a la entrevista)
2020,7,Total Nacional,Con carencia material severa
2019,"4,7",Total Nacional,Con carencia material severa
2018,"5,4",Total Nacional,Con carencia material severa
2017,"5,1",Total Nacional,Con carencia material severa
2016,"5,8",Total Nacional,Con carencia material severa
2015,"6,4",Total Nacional,Con carencia material severa
2014,"7,1",Total Nacional,Con carencia material severa
2013,"6,2",Total Nacional,Con carencia material severa
2012,"5,8",Total Nacional,Con carencia material severa
2011,"4,5",Total Nacional,Con carencia material severa
2010,"4,9",Total Nacional,Con carencia material severa
2009,"4,5",Total Nacional,Con carencia material severa
2008,"3,6",Total Nacional,Con carencia material severa
2020,"9,9",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2019,"10,8",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2018,"10,7",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2017,"12,8",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2016,"14,9",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2015,"15,4",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2014,"17,1",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2013,"15,7",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2012,"14,3",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2011,"13,4",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2010,"10,8",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2009,"7,6",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
2008,"6,6",Total Nacional,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
